,Problem,,,Constructive algorithm,,Local Search,,GRASP,,Known best solution
,,,,,,Simple Local-1,,,,
name,|V|,|E|,Simple Randomized,Simple Greedy,Semi-greedy-1,No. of iterations,Average value,No. of iterations,Best value,
g1,800,19176,9591.62,10145,9639,10,11261,25,11411,12078
g2,800,19176,9588.55,10146,9662,8,11262,25,11411,12084
g3,800,19176,9577.97,10027,9550,7,11367,25,11406,12077
g4,800,19176,9596.52,10040,9532,6,11286,25,11477,N/A
g5,800,19176,9593.89,10181,9548,10,11335,25,11413,N/A
g6,800,19176,84.93,1502,-151,10,1852,25,1951,N/A
g7,800,19176,-82.13,1312,-51,7,1729,25,1795,N/A
g8,800,19176,-97.16,1378,-195,10,1677,25,1825,N/A
g9,800,19176,-30.16,1286,-166,8,1802,25,1826,N/A
g10,800,19176,-79.02,1289,-201,9,1695,25,1796,N/A
g11,800,1600,18.42,396,-32,4,406,25,450,627
g12,800,1600,-3.06,368,-38,3,418,25,440,621
g13,800,1600,17.46,408,-16,3,452,25,478,645
g14,800,4694,2344.25,2716,2339,4,2924,25,2955,3187
g15,800,4661,2335.11,2746,2347,3,2865,25,2924,3169
g16,800,4672,2339.60,2714,2326,4,2906,25,2920,3172
g17,800,4667,2333.20,2747,2291,4,2895,25,2921,N/A
g18,800,4694,34.96,751,56,4,778,25,879,N/A
g19,800,4661,-61.54,633,-94,4,744,25,785,N/A
g20,800,4672,-18.84,703,-105,5,753,25,789,N/A
g21,800,4667,-31.99,682,-86,5,757,25,802,N/A
g22,2000,19990,10000.26,11245,9865,10,12833,25,12885,14123
g23,2000,19990,9999.61,11281,9765,10,12780,25,12833,14129
g24,2000,19990,9995.88,11136,9825,7,12734,25,12854,14131
g25,2000,19990,9979.86,11236,9784,7,12720,25,12884,N/A
g26,2000,19990,9985.52,11195,9538,8,12817,25,12844,N/A
g27,2000,19990,-19.05,2173,-73,7,2830,25,2898,N/A
g28,2000,19990,-50.46,2184,-298,12,2727,25,2830,N/A
g29,2000,19990,43.25,2160,-315,8,2798,25,2916,N/A
g30,2000,19990,57.42,2249,-137,9,2956,25,2937,N/A
g31,2000,19990,-41.97,2101,-239,9,2790,25,2809,N/A
g32,2000,4000,12.16,986,-152,4,1076,25,1094,1560
g33,2000,4000,-19.90,920,-128,5,1032,25,1098,1537
g34,2000,4000,-26.08,924,-126,4,1070,25,1082,1541
g35,2000,11778,5890.58,6912,5723,4,7300,25,7332,8000
g36,2000,11766,5886.54,6794,5797,6,7298,25,7344,7996
g37,2000,11785,5884.86,6862,5757,4,7319,25,7352,8009
g38,2000,11779,5887.61,6856,5793,5,7295,25,7354,N/A
g39,2000,11778,8.32,1737,-47,4,1906,25,2018,N/A
g40,2000,11766,-42.32,1729,-78,5,1823,25,2003,N/A
g41,2000,11785,-2.56,1701,-23,6,1962,25,2012,N/A
g42,2000,11779,67.00,1781,42,4,2002,25,2096,N/A
g43,1000,9990,4989.11,5569,5003,8,6427,25,6424,7027
g44,1000,9990,4991.90,5543,4986,8,6405,25,6461,7022
g45,1000,9990,4991.34,5646,4960,6,6424,25,6433,7020
g46,1000,9990,4991.96,5572,4953,7,6416,25,6423,N/A
g47,1000,9990,5001.73,5570,5000,8,6409,25,6435,N/A
g48,3000,6000,2998.82,5784,1676,4,5324,25,5452,6000
g49,3000,6000,3003.82,5702,1944,9,5114,25,5360,6000
g50,3000,6000,2995.52,5718,2162,7,5114,25,5386,5988
g51,1000,5909,2953.62,3439,2983,5,3677,25,3693,N/A
g52,1000,5916,2954.43,3419,2846,4,3639,25,3694,N/A
g53,1000,5914,2955.03,3434,2836,4,3690,25,3692,N/A
g54,1000,5916,2961.79,3438,2851,4,3657,25,3696,N/A
